Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1716.213779
FDW14,OUT017,1716.213779
NCN55,OUT010,471.3068467
FDQ58,OUT017,2785.659303
FDY38,OUT027,5669.163351
FDH56,OUT046,1716.213779
FDL48,OUT018,858.3665937
FDC48,OUT027,2846.400823
FDN33,OUT045,1716.213779
FDA36,OUT017,2785.659303
FDT44,OUT017,1716.213779
FDQ56,OUT045,1716.213779
NCC54,OUT019,471.3068467
FDU11,OUT049,1716.213779
DRL59,OUT013,858.3665937
FDM24,OUT049,2785.659303
FDI57,OUT045,2785.659303
DRC12,OUT018,2785.659303
NCM42,OUT027,2846.400823
FDA46,OUT010,471.3068467
FDA31,OUT013,2785.659303
NCJ31,OUT035,3845.930347
FDG52,OUT046,858.3665937
NCL19,OUT019,207.1305035
FDS10,OUT035,2785.659303
FDX22,OUT010,471.3068467
NCF19,OUT035,858.3665937
NCE06,OUT046,2785.659303
DRC27,OUT046,3845.930347
FDE21,OUT035,1716.213779
NCR42,OUT019,207.1305035
FDX51,OUT018,2785.659303
NCR06,OUT018,858.3665937
FDU31,OUT027,5669.163351
FDU59,OUT017,2785.659303
FDR03,OUT027,5669.163351
FDS49,OUT027,2846.400823
FDD48,OUT010,207.1305035
NCF18,OUT017,2785.659303
NCD43,OUT027,2846.400823
NCD54,OUT018,1716.213779
FDY19,OUT010,207.1305035
NCY54,OUT017,2785.659303
NCL19,OUT018,2785.659303
FDP23,OUT010,471.3068467
FDC26,OUT013,1716.213779
FDR14,OUT010,207.1305035
NCS41,OUT035,2785.659303
FDF41,OUT035,3845.930347
FDU34,OUT046,1716.213779
DRH11,OUT046,858.3665937
FDM03,OUT013,1716.213779
FDS31,OUT017,2785.659303
FDJ20,OUT017,1716.213779
FDV44,OUT027,5669.163351
FDG02,OUT049,2785.659303
FDA09,OUT013,2785.659303
FDT04,OUT013,858.3665937
FDL58,OUT019,471.3068467
FDE52,OUT045,1716.213779
FDW12,OUT035,2785.659303
FDL51,OUT017,3845.930347
NCY42,OUT027,2846.400823
FDR07,OUT017,1716.213779
FDN40,OUT045,2785.659303
FDB35,OUT027,2846.400823
FDA22,OUT017,2785.659303
NCL06,OUT046,3845.930347
FDI35,OUT013,2785.659303
NCW42,OUT045,3845.930347
NCX06,OUT049,2785.659303
FDC37,OUT027,2846.400823
FDZ14,OUT018,1716.213779
DRG49,OUT049,3845.930347
NCG06,OUT045,3845.930347
DRC36,OUT045,2785.659303
FDV21,OUT019,207.1305035
FDB53,OUT046,2785.659303
DRP47,OUT019,471.3068467
FDA14,OUT013,2785.659303
DRC24,OUT035,2785.659303
FDW21,OUT018,1716.213779
NCH29,OUT046,1716.213779
FDU58,OUT013,2785.659303
FDY27,OUT017,2785.659303
FDV56,OUT035,1716.213779
FDT59,OUT046,3845.930347
FDB23,OUT046,3845.930347
FDR49,OUT045,858.3665937
FDB03,OUT010,471.3068467
FDN39,OUT045,2785.659303
FDX02,OUT027,5669.163351
FDQ16,OUT027,2846.400823
FDU35,OUT018,1716.213779
NCT29,OUT013,1716.213779
FDZ27,OUT046,858.3665937
FDN57,OUT017,1716.213779
FDA03,OUT018,2785.659303
FDZ36,OUT045,2785.659303
NCU05,OUT013,1716.213779
FDT39,OUT018,2785.659303
FDK60,OUT017,1716.213779
FDZ25,OUT017,2785.659303
FDG12,OUT046,1716.213779
DRB01,OUT019,471.3068467
NCC43,OUT027,5669.163351
FDX13,OUT019,471.3068467
FDM22,OUT049,858.3665937
FDJ03,OUT027,858.3665937
FDU14,OUT018,3845.930347
FDB33,OUT010,471.3068467
FDP27,OUT046,2785.659303
FDO38,OUT010,207.1305035
FDE28,OUT027,5669.163351
FDO27,OUT035,1716.213779
DRL23,OUT027,2846.400823
FDS28,OUT046,858.3665937
FDX24,OUT013,1716.213779
FDZ02,OUT035,1716.213779
FDL46,OUT045,1716.213779
FDS60,OUT027,5669.163351
NCO06,OUT017,858.3665937
FDO16,OUT035,1716.213779
FDC60,OUT049,1716.213779
FDA48,OUT018,3845.930347
FDZ36,OUT027,5669.163351
FDK27,OUT045,1716.213779
FDW23,OUT018,858.3665937
FDM14,OUT018,1716.213779
FDM14,OUT013,1716.213779
FDW60,OUT018,2785.659303
FDE21,OUT013,1716.213779
NCM42,OUT035,1716.213779
FDY59,OUT010,207.1305035
DRI49,OUT049,1716.213779
FDT28,OUT019,471.3068467
FDQ22,OUT018,858.3665937
FDR60,OUT049,1716.213779
FDC50,OUT019,207.1305035
FDV24,OUT013,2785.659303
DRF48,OUT010,471.3068467
FDQ47,OUT046,858.3665937
DRN36,OUT049,1716.213779
NCY06,OUT035,1716.213779
FDE52,OUT035,1716.213779
NCB54,OUT045,1716.213779
NCF31,OUT035,2785.659303
FDJ08,OUT027,5669.163351
NCC07,OUT017,1716.213779
NCD19,OUT027,858.3665937
FDL46,OUT049,1716.213779
FDM20,OUT045,3845.930347
NCI06,OUT010,471.3068467
DRM11,OUT035,3845.930347
NCH07,OUT018,2785.659303
FDS23,OUT013,1716.213779
FDO49,OUT018,858.3665937
FDS35,OUT049,858.3665937
DRK39,OUT045,1716.213779
DRI39,OUT049,858.3665937
FDV04,OUT017,2785.659303
NCN14,OUT035,2785.659303
FDH08,OUT013,3845.930347
FDS20,OUT046,2785.659303
FDV40,OUT049,858.3665937
FDZ48,OUT010,207.1305035
FDS24,OUT027,2846.400823
FDK44,OUT049,2785.659303
FDS48,OUT045,2785.659303
FDK26,OUT010,471.3068467
FDD23,OUT045,2785.659303
NCH54,OUT017,2785.659303
NCP14,OUT010,207.1305035
FDM60,OUT010,207.1305035
FDV24,OUT017,2785.659303
FDH08,OUT018,3845.930347
FDS12,OUT027,2846.400823
FDR39,OUT027,5669.163351
FDP12,OUT027,858.3665937
DRF60,OUT027,5669.163351
FDC09,OUT035,1716.213779
FDF50,OUT018,2785.659303
FDG28,OUT035,3845.930347
NCE19,OUT017,858.3665937
NCM53,OUT010,207.1305035
NCN18,OUT049,1716.213779
FDF32,OUT035,2785.659303
FDF11,OUT013,3845.930347
DRI59,OUT049,3845.930347
NCG54,OUT035,2785.659303
FDM44,OUT046,1716.213779
FDT57,OUT018,3845.930347
FDV24,OUT046,2785.659303
FDI50,OUT019,471.3068467
FDS09,OUT035,858.3665937
NCC31,OUT027,4117.317713
FDQ07,OUT019,471.3068467
FDC22,OUT017,2785.659303
FDZ56,OUT046,2785.659303
FDZ40,OUT019,207.1305035
FDS46,OUT027,2846.400823
DRD24,OUT045,1716.213779
FDV45,OUT017,2785.659303
FDL26,OUT045,2785.659303
FDA56,OUT018,1716.213779
FDN27,OUT046,1716.213779
FDM20,OUT049,3845.930347
FDO16,OUT017,1716.213779
FDL03,OUT035,2785.659303
FDE58,OUT046,1716.213779
FDI02,OUT027,2846.400823
NCC55,OUT019,207.1305035
FDR03,OUT018,3845.930347
FDB14,OUT017,1716.213779
FDR45,OUT013,3845.930347
NCN07,OUT017,1716.213779
FDM51,OUT019,207.1305035
FDT52,OUT027,5669.163351
FDL26,OUT046,2785.659303
NCZ42,OUT046,3845.930347
DRI47,OUT019,471.3068467
FDW40,OUT013,1716.213779
FDN34,OUT046,2785.659303
FDS01,OUT035,2785.659303
NCG55,OUT045,1716.213779
FDC11,OUT035,1716.213779
FDX35,OUT018,3845.930347
NCB06,OUT046,2785.659303
FDR09,OUT019,471.3068467
FDC53,OUT017,1716.213779
FDY45,OUT013,3845.930347
FDA22,OUT010,471.3068467
FDE02,OUT035,1716.213779
FDW21,OUT045,1716.213779
FDV34,OUT046,858.3665937
FDS59,OUT049,1716.213779
NCW17,OUT017,1716.213779
NCK54,OUT046,1716.213779
FDG17,OUT019,471.3068467
FDG35,OUT017,2785.659303
FDD08,OUT010,207.1305035
NCO07,OUT017,3845.930347
FDJ10,OUT010,207.1305035
FDW36,OUT017,1716.213779
FDW21,OUT010,207.1305035
FDY19,OUT017,1716.213779
DRE03,OUT013,858.3665937
NCC55,OUT049,858.3665937
FDH52,OUT010,207.1305035
FDO09,OUT017,3845.930347
FDU43,OUT045,3845.930347
FDX09,OUT010,471.3068467
FDH40,OUT019,207.1305035
FDW58,OUT017,1716.213779
FDC47,OUT017,3845.930347
NCR41,OUT035,1716.213779
DRG49,OUT035,3845.930347
FDC52,OUT027,4117.317713
FDY13,OUT046,858.3665937
FDY35,OUT013,858.3665937
FDI35,OUT017,2785.659303
NCU18,OUT049,1716.213779
FDY33,OUT018,2785.659303
FDC15,OUT027,4117.317713
FDU01,OUT049,2785.659303
NCU42,OUT046,2785.659303
NCV29,OUT018,2785.659303
NCY30,OUT017,2785.659303
FDQ46,OUT049,1716.213779
FDG58,OUT027,4117.317713
FDK33,OUT017,3845.930347
NCD07,OUT045,1716.213779
NCX29,OUT027,4117.317713
NCT42,OUT013,2785.659303
DRN59,OUT035,858.3665937
FDI44,OUT035,1716.213779
FDA45,OUT049,2785.659303
FDP31,OUT045,858.3665937
FDY01,OUT046,1716.213779
FDT09,OUT018,1716.213779
DRH03,OUT027,2846.400823
FDA36,OUT018,2785.659303
NCF31,OUT017,2785.659303
FDG14,OUT049,2785.659303
FDG28,OUT027,5669.163351
FDU14,OUT049,3845.930347
FDY47,OUT019,207.1305035
FDI56,OUT049,1716.213779
DRD01,OUT013,858.3665937
FDM22,OUT046,858.3665937
FDH33,OUT013,858.3665937
DRZ24,OUT013,1716.213779
NCQ38,OUT046,1716.213779
FDO16,OUT027,2846.400823
FDU07,OUT027,4117.317713
NCB07,OUT013,2785.659303
FDU48,OUT045,1716.213779
NCM43,OUT045,2785.659303
FDR31,OUT010,471.3068467
DRK49,OUT018,858.3665937
NCI30,OUT010,471.3068467
DRD60,OUT017,2785.659303
NCG19,OUT046,3845.930347
FDH12,OUT035,1716.213779
FDM32,OUT035,1716.213779
FDM27,OUT035,2785.659303
NCU53,OUT027,4117.317713
NCQ18,OUT046,1716.213779
FDS10,OUT013,2785.659303
FDB33,OUT027,4117.317713
FDI12,OUT013,1716.213779
NCW42,OUT013,3845.930347
NCC06,OUT018,1716.213779
FDW02,OUT017,1716.213779
NCD43,OUT017,1716.213779
